County_Code,County_Name,State
1045,Dale County,Alabama
1061,Geneva County,Alabama
1067,Henry County,Alabama
1069,Houston County,Alabama
12001,Alachua County,Florida
12003,Baker County,Florida
12005,Bay County,Florida
12007,Bradford County,Florida
12009,Brevard County,Florida
12011,Broward County,Florida
12013,Calhoun County,Florida
12015,Charlotte County,Florida
12017,Citrus County,Florida
12019,Clay County,Florida
12021,Collier County,Florida
12023,Columbia County,Florida
12027,DeSoto County,Florida
12029,Dixie County,Florida
12031,Duval County,Florida
12033,Escambia County,Florida
12035,Flagler County,Florida
12037,Franklin County,Florida
12039,Gadsden County,Florida
12041,Gilchrist County,Florida
12043,Glades County,Florida
12045,Gulf County,Florida
12047,Hamilton County,Florida
12049,Hardee County,Florida
12051,Hendry County,Florida
12053,Hernando County,Florida
12055,Highlands County,Florida
12057,Hillsborough County,Florida
12059,Holmes County,Florida
12061,Indian River County,Florida
12063,Jackson County,Florida
12065,Jefferson County,Florida
12067,Lafayette County,Florida
12069,Lake County,Florida
12071,Lee County,Florida
12073,Leon County,Florida
12075,Levy County,Florida
12077,Liberty County,Florida
12079,Madison County,Florida
12081,Manatee County,Florida
12083,Marion County,Florida
12085,Martin County,Florida
12086,Miami-Dade County,Florida
12087,Monroe County,Florida
12089,Nassau County,Florida
12091,Okaloosa County,Florida
12093,Okeechobee County,Florida
12095,Orange County,Florida
12097,Osceola County,Florida
12099,Palm Beach County,Florida
12101,Pasco County,Florida
12103,Pinellas County,Florida
12105,Polk County,Florida
12107,Putnam County,Florida
12109,St. Johns County,Florida
12111,St. Lucie County,Florida
12113,Santa Rosa County,Florida
12115,Sarasota County,Florida
12117,Seminole County,Florida
12119,Sumter County,Florida
12121,Suwannee County,Florida
12123,Taylor County,Florida
12125,Union County,Florida
12127,Volusia County,Florida
12129,Wakulla County,Florida
12131,Walton County,Florida
12133,Washington County,Florida
13003,Bacon County,Georgia
13007,Baker County,Georgia
13019,Berrien County,Georgia
13025,Brantley County,Georgia
13027,Brooks County,Georgia
13039,Camden County,Georgia
13049,Charlton County,Georgia
13065,Clinch County,Georgia
13071,Colquitt County,Georgia
13075,Cook County,Georgia
13087,Decatur County,Georgia
13099,Early County,Georgia
13101,Echols County,Georgia
13127,Glynn County,Georgia
13131,Grady County,Georgia
13173,Lanier County,Georgia
13185,Lowndes County,Georgia
13191,McIntosh County,Georgia
13201,Miller County,Georgia
13205,Mitchell County,Georgia
13229,Pierce County,Georgia
13253,Seminole County,Georgia
13275,Thomas County,Georgia
13277,Tift County,Georgia
13299,Ware County,Georgia
